"","cod_mun","populacao","faixa_pop","pib_per_cap","Num_sc","Num_pl","Num_chl","Num_consor","Num_fu","ser_perc","nota_transp_2016","leg.dummie_2012","idhm_quintil","idhm_2013"
"1255","2515807",7071,"2 - 5001 até 10000",7038.2,3,1,3,0,3,16,7.1,1,"primeiro",0.57
"1256","2515906",6185,"2 - 5001 até 10000",7614.09,2,2,3,0,3,28.4,9,1,"primeiro",0.547
"1257","2515971",7669,"2 - 5001 até 10000",8671.17,3,2,3,0,3,26.1,7.1,0,"primeiro",0.573
"1258","2516003",26925,"4 - 20001 até 50000",8144.62,3,2,3,0,3,20.4,7,1,"segundo",0.595
"1259","2516102",14569,"3 - 10001 até 20000",9816.85,1,2,3,0,3,11.4,6.4,1,"segundo",0.616
"1260","2516151",3427,"1 - Até 5000",7271.47,2,2,3,1,3,0,5.9,1,"primeiro",0.573
"1261","2516201",68434,"5 - 50001 até 100000",13524.84,3,3,3,0,3,26.2,6.3,0,"terceiro",0.668
"1262","2516300",16691,"3 - 10001 até 20000",7695.73,3,2,3,1,3,19.8,6.8,1,"segundo",0.627
"1263","2516409",10745,"3 - 10001 até 20000",5945.45,3,3,3,0,3,19.8,4.9,1,"primeiro",0.551
"1264","2516508",15284,"3 - 10001 até 20000",6827.24,3,2,3,0,3,24.7,5.8,1,"primeiro",0.578
"1265","2516607",14518,"3 - 10001 até 20000",6342.43,3,3,3,1,3,25.9,5.6,0,"primeiro",0.586
"1266","2516706",14859,"3 - 10001 até 20000",7637.08,3,3,3,1,3,24.4,7,0,"segundo",0.605
"1267","2516755",2981,"1 - Até 5000",7999,2,2,3,0,3,26.7,5.9,1,"primeiro",0.581
"1268","2516805",9429,"2 - 5001 até 10000",6290.32,2,3,3,0,3,24.2,5.2,1,"segundo",0.609
"1269","2516904",15147,"3 - 10001 até 20000",8856.28,3,2,3,0,3,30.3,7.3,1,"segundo",0.636
"1270","2517001",9874,"2 - 5001 até 10000",6396.19,2,2,3,0,3,26.3,4.8,0,"primeiro",0.584
"1271","2517100",2709,"1 - Até 5000",9133.77,2,3,3,0,3,31.9,5.7,1,"quarto",0.707
"1272","2517209",5262,"2 - 5001 até 10000",6157.17,3,3,3,0,3,19.4,7.6,1,"primeiro",0.571
"1273","2517407",2189,"1 - Até 5000",6773.37,3,3,3,1,3,21.5,5.4,1,"segundo",0.623
"1274","2600054",98201,"5 - 50001 até 100000",13695.22,3,3,3,0,3,14.6,1.7,1,"terceiro",0.679
"1275","2600104",36547,"4 - 20001 até 50000",10554.2,3,3,3,0,3,25.6,2.7,1,"terceiro",0.657
"1276","2600203",18831,"3 - 10001 até 20000",7087.56,2,3,3,3,3,14.8,3.4,1,"primeiro",0.588
"1277","2600302",24052,"4 - 20001 até 50000",8127.35,2,2,3,0,3,28,3.1,0,"primeiro",0.592
"1278","2600401",35344,"4 - 20001 até 50000",5821.92,1,3,3,0,3,24.3,4.5,1,"primeiro",0.553
"1279","2600500",42291,"4 - 20001 até 50000",6303.22,3,3,3,0,3,31.7,6.8,1,"primeiro",0.526
"1280","2600609",14250,"3 - 10001 até 20000",7336.6,3,3,3,0,3,0,2.1,1,"segundo",0.599
